CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Cg,WD-Cg,I,D3,40,60,5,26,43,31,M,1.309999943,,12,22.85000038,100,66,7.650000095,76,1,0.379999995,9.43999958,1.100000024,9.920000076,27,0,2
Cg,WD-Cg,I,D4,60,80,10,26,43,31,M,1.360000014,,13,21.21999931,100,67,7.800000191,92,1,0.300000012,5.699999809,0.800000012,8.75,28,0,2
Cg,WD-Cg,I,D5,80,100,10,26,43,31,M,1.389999986,,13,17.89999962,100,63.20000076,8,95.5,1,0.300000012,4,0.600000024,7.5,26.5,0,2
Ch,WD-Ch,W,D1,0,20,7,23,48,29,M,1.179999948,,15,26,100,64,7,13.5,1,0.200000003,21.61000061,2,11.10999966,27,0,2
Ch,WD-Ch,W,D2,20,40,6,24,47,29,M,1.24000001,,14,23.31999969,100,69.5,7.199999809,6.880000114,1,0.200000003,15,1.559999943,10.61999989,24.60000038,0,2
Ch,WD-Ch,W,D3,40,60,15,24,47,29,M,1.279999971,,13,22.15999985,100,71,7.449999809,20,1,0.200000003,11.10000038,1.080000043,10.18999958,22,0,2
Ch,WD-Ch,W,D4,60,80,21,23,47,30,M,1.350000024,,11,20.15999985,100,72,7.570000172,20,1,0.200000003,8,0.899999976,9.06000042,21,0,2
Ch,WD-Ch,W,D5,80,100,13,24,48,28,M,1.379999995,,13,17.68000031,100,73,7.800000191,27.20000076,1,0.200000003,4.679999828,0.639999986,7.699999809,23,0,2
Ck,WD-Ck,M,D1,0,20,3,27,42,31,M,1.200000048,,13,27,100,57,7.699999809,37.5,1,0.330000013,19.39999962,2.099999905,10.64999962,37.38000107,0,1
Ck,WD-Ck,M,D2,20,40,5,25,43,32,M,1.25,,15,25.70999908,100,59.54999924,7.800000191,73,1,0.449999988,13.18000031,1.600000024,10,43.25,0,1
Ck,WD-Ck,M,D3,40,60,6,24,43,33,M,1.299999952,,12,27.20000076,100,59.45000076,7.980000019,112.5,1,0.469999999,7.929999828,1.169999957,9.289999962,42.79999924,0,2
Ck,WD-Ck,M,D4,60,80,8,26,42,32,M,1.340000033,,15,24.60000038,100,63,8.100000381,149.1000061,1,0.449999988,5,0.810000002,8.25,46,0,2
Ck,WD-Ck,M,D5,80,100,5,26,42,32,M,1.370000005,,18,21.5,100,49,8.199999809,165.1199951,1,0.400000006,3.299999952,0.550000012,8.199999809,47,0,3
Cl,WD-Cl,M,D1,0,20,4,31,39,30,M,1.24000001,,10,23.10000038,100,64.25,6.800000191,1,1,0.200000003,20.84000015,2.150000095,10.52000046,27.04999924,0,2
